,OBEC,VOLICI_V_OBCI,NAZEVOBCE
0,500011,1533,Želechovice nad Dřevnicí
1,500020,998,Petrov nad Desnou
2,500046,1372,Libhošť
3,500054,21252,Praha 1
4,500062,1657,Krhová
5,500071,1407,Poličná
6,500089,31386,Praha 2
7,500097,49684,Praha 3
8,500101,169,Bražec
9,500119,93086,Praha 4
10,500127,127,Doupovské Hradiště
11,500135,220,Kozlov
12,500143,59988,Praha 5
13,500151,107,Luboměř pod Strážnou
14,500160,479,Město Libavá
15,500178,74643,Praha 6
16,500186,30611,Praha 7
17,500194,156,Polná na Šumavě
18,500208,76011,Praha 8
19,500216,39652,Praha 9
20,500224,80657,Praha 10
21,500259,1574,Veřovice
22,500291,2294,Vřesina
23,500496,79410,Olomouc
24,500526,1792,Bělkovice-Lašťany
25,500623,939,Bílá Lhota
26,500801,512,Blatec
27,500852,2056,Bohuňovice
28,500861,1218,Bouzov
29,500879,651,Bystročice
30,501298,15141,Ústí nad Labem-Severní Terasa
31,501476,1547,Dlouhá Loučka
32,501646,2146,Dolany
33,501751,1439,Drahanovice
34,501794,1270,Dub nad Moravou
35,501841,1185,Grygov
36,502081,17385,Ústí nad Labem-Neštěmice
37,502146,3404,Hlubočky
38,502235,1371,Hněvotín
39,502316,10981,Ústí nad Labem-Střekov
40,502405,478,Hnojice
41,502545,2006,Horka nad Moravou
42,502839,565,Cholina
43,503142,488,Jívová
44,503304,648,Kožušany-Tážaly
45,503410,149,Žitovlice
46,503444,7651,Litovel
47,503622,707,Luká
48,503657,2524,Lutín
49,503738,958,Majetín
50,503916,440,Kostelec
51,504246,570,Mladeč
52,504301,307,Dřenice
53,504441,1186,Náklo
54,504505,1691,Náměšť na Hané
55,504785,1101,Paseka
56,504807,224,Lány
57,504921,232,Třibřichy
58,504955,120,Dvakačovice
59,505005,333,Bítovany
60,505013,1039,Příkazy
61,505030,178,Dolní Bezděkov
62,505081,1454,Senice na Hané
63,505099,151,Červená Hora
64,505111,1327,Slatinice
65,505145,1250,Březová nad Svitavou
66,505161,2822,Štěpánov
67,505188,10659,Šternberk
68,505218,1324,Šumvald
69,505269,1067,Těšetice
70,505293,1481,Troubelice
71,505366,1416,Tršice
72,505391,294,Bělá u Jevíčka
73,505501,1146,Újezd
74,505528,279,Jenčice
75,505587,8976,Uničov
76,505609,2640,Velká Bystřice
77,505650,2328,Velký Týnec
78,505668,1062,Velký Újezd
79,505781,615,Zápy
80,505862,366,Žerotín
81,506192,1368,Bohuslavice
82,506214,3547,Bolatice
83,506320,1228,Brumovice
84,506451,1092,Březová
85,506460,2266,Budišov nad Budišovkou
86,506486,364,Boží Dar
87,506494,299,Nové Hamry
88,506621,123,Čichalov
89,506664,225,Skořice
90,506699,279,Otmarov
91,506702,3253,Dolní Benešov
92,506711,1208,Dolní Lhota
93,506729,170,Dvorce
94,506737,1327,Chvalčov
95,506753,2641,Háj ve Slezsku
96,506761,206,Alojzov
97,506770,395,Seloutky
98,507016,11107,Hlučín
99,507091,1661,Nýdek
100,507105,811,Hněvošice
101,507113,1093,Holasovice
102,507181,876,Pržno
103,507237,1178,Komorní Lhotka
104,507261,1062,Hrabyně
105,507270,4297,Hradec nad Moravicí
106,507334,1071,Chuchelná
107,507377,879,Jakartovice
108,507423,1590,Janovice
109,507458,294,Košařiska
110,507504,2591,Kobeřice
111,507547,1067,Milíkov
112,507580,5325,Kravaře
113,507610,64,Doňov
114,507628,152,Pleše
115,507644,59,Újezdec
116,507652,69,Višňová
117,507695,97,Záhoří
118,507717,375,Peč
119,507733,108,Březina
120,507784,159,Ratiboř
121,507920,744,Litultovice
122,507971,3965,Ludgeřovice
123,508004,174,Roseč
124,508128,1666,Markvartovice
125,508144,531,Melč
126,508152,463,Střížovice
127,508357,132,Kostelní Vydří
128,508373,908,Mokré Lazce
129,508501,341,Lužnice
130,508683,72,Záblatí
131,509078,371,Plavsko
132,509108,240,Kostelní Radouň
133,509116,162,Červený Hrádek
134,509141,273,Dvory nad Lužnicí
135,509191,152,Cep
136,509388,64,Arneštovice
137,509418,84,Bořetín
138,509574,1126,Oldřišov
139,509612,1181,Otice
140,509621,463,Předotice
141,509647,1735,Píšť
142,509736,1109,Pustá Polom
143,509752,79,Křižanov
144,509841,899,Raduň
145,510068,166,Čečelovice
146,510131,774,Skřipov
147,510289,1625,Slavkov
148,510297,645,Služovice
149,510343,1157,Stěbořice
150,510378,517,Sudice
151,510432,1278,Šilheřovice
152,510483,2523,Štěpánkovice
153,510491,979,Štítina
154,510556,236,Láz
155,510645,71,Kojatín
156,510882,1581,Velká Polom
157,510891,1298,Velké Heraltice
158,510939,1433,Velké Hoštice
159,510980,268,Ocmanice
160,511021,4621,Vítkov
161,511081,200,Sedlec
162,511161,418,Vršovice
163,511242,326,Vícenice u Náměště nad Oslavou
164,511307,91,Rácovice
165,511382,33745,Přerov
166,511412,99,Oslavička
167,511587,319,Josefov
168,511633,373,Bocanovice
169,511935,1037,Bukovec
170,511951,754,Dolní Lomná
171,511986,305,Horní Lomná
172,512028,1492,Písek
173,512176,1481,Hrádek
174,512184,1394,Metylovice
175,512192,739,Horní Domaslavice
176,512231,1412,Bělotín
177,512281,551,Beňov
178,512401,149,Bezuchov
179,512532,794,Bochoř
180,512745,664,Těškovice
181,512800,1534,Brodek u Přerova
182,512826,319,Buk
183,512869,726,Strahovice
184,512877,302,Býškovice
185,512893,151,Nové Lublice
186,512907,693,Kyjovice
187,512923,935,Chlebičov
188,512974,537,Bělá
